Drift ID,Trip ID,ID Cell per Trip,Grid Cell ID,Site (MPA/ REF),Drifting or Holding Station,Start Time,End Time,Drift Time (hrs),BAR (+/- mins) Fishing Time,FLY (+/- mins) Fishing Time,BAT (+/- mins) Fishing Time,DPR (+/- mins) Fishing Time,SBT (+/- mins) Fishing Time,Total (+/-) Time (hrs),Number of BAT fishers,Number of FLY fishers,Number of DPR fishers,Number of SBT fishers,Number of BAR fishers,Total # Anglers Fishing,Total Angler Hrs,ST_LatDD,ST_LonDD,Start Lat/Lon GPS Waypoint,Start Lat/Lon waypoint_link,End_LatDD,End_LonDD,End Lat/Lon GPS Waypoint,End Lat/Lon waypoint_link,Drift Length (m),Recorder,Tag Crew,"Surface T (instrument, C)","Depth T ( instrument, C)","SWT (vessel, F)",Relief (1-3),Start Depth (ft),End Depth (ft),Lingcod Bar Weight (oz),Lead Weight (oz),SBT Tail Length (in),SBT Head Weight (oz),# Seals,# Sea Lions,Total Fishes Caught,Cloud Cover (0-3),Obs Wind Speed (kt),Obs Wind Direction,Obs Swell Height (ft),Secchi Depth (m),Comments,Excluded Drift Comment,Exclude:Gear-Specific CPUE
SPR0909201601,SPT04_20,,SP16,REF,,12:50:00 PM,12:59:00 PM,,0.00,0.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.524634,-123.275264,1788,,38.524669,-123.275318,1789,,,SS,IMB,,,54.90,3,41,49,4,12,0,0,0,0,8,3,5-10,SW,1.00,,End waypoint inferred,,
SPR0909201602,SPT04_20,,SP16,REF,,1:05:00 AM,1:12:00 AM,,0.00,0.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.523764,-123.274118,1790,,38.52503,-123.275178,1791,,,SS,IMB,,,54.90,3,41,70,4,12,0,0,0,0,6,3,5-10,SW,1.00,,,,
SPR0909201603,SPT04_20,,SP16,REF,,1:16:00 AM,1:30:00 AM,,0.00,0.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.521141,-123.273526,1792,,38.52365,-123.276621,1795,,,SS,IMB,,,54.90,2,75,,4,12,0,0,0,0,22,3,5-10,SW,1.00,,,,
SPR0909201604,SPT04_20,,SP16,REF,,1:34:00 AM,1:49:00 AM,,0.00,-2.00,-3.00,0.00,0.00,,2,2,0,0,2,6,,38.521965,-123.272312,1796,,38.52487,-123.275381,1799,,,SS,IN,,,54.90,3,56,68,4,12,0,0,0,0,14,3,5-10,SW,1.00,,,,
SPR0910201801,SPT05_20,,SP18,REF,,12:31:00 PM,12:37:00 PM,,0.00,0.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.509191,-123.256425,1836,,38.509474,-123.257485,1837,,,SS ,IMB,,,55.00,3,86,79,4,12,0,0,0,0,5,3,LV,N/A,1.00,,,,
SPR0910201802,SPT05_20,,SP18,REF,,12:44:00 PM,12:56:00 PM,,-1.00,-1.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.507824,-123.254591,1838,,38.508088,-123.256456,1840,,,SS,IMB,,,55.00,3,70,70,4,12,0,0,0,0,10,3,LV,N/A,1.00,,,,
SPR0910201803,SPT05_20,,SP18,REF,,12:58:00 PM,1:10:00 AM,,0.00,-1.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.509253,-123.256526,1841,,38.509297,-123.258642,1843,,,SS,HK,,,55.00,3,73,,4,12,0,0,0,0,4,3,LV,N/A,1.00,,,,
SPR0910201804,SPT05_20,,SP18,REF,,1:13:00 AM,1:28:00 AM,,0.00,0.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.508265,-123.258623,1844,,38.508590,-123.259203,1848,,,SS,HK,,,55.00,1,108,110,4,12,0,0,0,0,35,3,LV,N/A,1.00,,,,
