ID,Project,Collecition_Date,Cell_Location,Replicate,Collection_Site,Cell_Type,Collectors,Vessel,Site_Start,Site_End,Niskin_Closed,Waypoint,Lat,Lon,Conditions,SST_F,Rugosity,Site_Depth_ft,Appr_Niskin_Line_Out,Niskin_depth_probe,Temp_at_Depth,Filter_Type,Filter_Pore_um,Filtration_Date,Filtration_Time,Filterer,Filtration_Site,Turbidity,pH,Vol_L,Notes,eDNA_Sample_Status,Extracted,SU_Serial
CCSP19202188B,CCFRP,8/8/21,Cell 19,B,SP,REF,"KY, AH",R/V Huli Cat,NA,NA,13:45:00,220,NA,NA,NA,56.5,3,120,100,22.35734099,16.33,Sterivex,0.45,8/19/21,11:34:00,"KY, AH",Cole A,0.58,NA,2.7,,1,9/23/21,91
CCSP19202188C,CCFRP,8/8/21,Cell 19,C,SP,REF,"KY, AH",R/V Huli Cat,NA,NA,14:08:00,223,NA,NA,NA,56.5,3,86,95,17.87943333,17.34,Sterivex,0.45,8/20/21,11:50:00,"KY, AH",Cole A,0.51,NA,2.6,,1,9/23/21,92
CCSP03202188A,CCFRP,8/8/21,Cell 3,A,SP,MPA,"KY, AH",R/V Huli Cat,NA,NA,8:45:00,179,NA,NA,NA,58.6,3,60,6,9.111848623,13.23,Sterivex,0.45,8/9/21,10:03:00,"KY, AH",Cole A,1.1,NA,2.3,,1,9/23/21,81
CCSP03202188B,CCFRP,8/8/21,Cell 3,B,SP,MPA,"KY, AH",R/V Huli Cat,NA,NA,9:24:00,186,NA,NA,NA,53.6,3,80,60,15.16494947,13.41,Sterivex,0.45,8/10/21,10:23:00,"KY, AH",Cole A,0.55,NA,2.7,,1,9/23/21,82
CCSP03202188C,CCFRP,8/8/21,Cell 3,C,SP,MPA,"KY, AH",R/V Huli Cat,NA,NA,9:55:00,191,NA,NA,NA,53.9,3,97,100,22.66445413,13.25,Sterivex,0.45,8/11/21,10:44:00,"KY, AH",Cole A,0.58,NA,2.7,,1,9/23/21,83
CCSP07202178A,CCFRP,8/7/21,Cell 7,A,SP,MPA,"KY, KM",R/V Huli Cat,NA,NA,9:10:00,136,NA,NA,NA,51,3,50,50,13.21329503,12.2,Sterivex,0.45,8/7/21,19:44:00,AH ,BML dorm parking lot,1.25,NA,2.5,"small chance 7 and 17 switched, see FNC2 note",1,9/20/21,69
CCSP07202178B,CCFRP,8/7/21,Cell 7,B,SP,MPA,"KY, KM",R/V Huli Cat,NA,NA,9:45:00,142,NA,NA,NA,55,3,51,50,11.84614623,12.15,Sterivex,0.45,8/7/21,20:03:00,AH ,BML dorm parking lot,1.29,NA,2.5,,1,9/20/21,70
CCSP07202178C,CCFRP,8/7/21,Cell 7,C,SP,MPA,"KY, KM",R/V Huli Cat,NA,NA,10:15:00,151,NA,NA,NA,51.5,3,57,60,12.92599564,12.27,Sterivex,0.45,8/7/21,20:20:00,AH ,BML dorm parking lot,1.21,NA,2.5,,1,9/20/21,71
CCSP08202178A,CCFRP,8/7/21,Cell 8,A,SP,MPA,"KY, KM",R/V Huli Cat,NA,NA,11:25:00,155,NA,NA,NA,52.5,2,107,100,20.30661779,13.25,Sterivex,0.45,8/7/21,19:48:00,AH ,BML dorm parking lot,1.27,NA,2.5,,1,9/20/21,74
CCSP08202178B,CCFRP,8/7/21,Cell 8,B,SP,MPA,"KY, KM",R/V Huli Cat,NA,NA,11:56:00,159,NA,NA,NA,53.4,3,88,100,22.27808599,12.55,Sterivex,0.45,8/7/21,20:08:00,AH ,BML dorm parking lot,0.81,NA,2.5,,1,9/20/21,75
CCSP08202178C,CCFRP,8/7/21,Cell 8,C,SP,MPA,"KY, KM",R/V Huli Cat,NA,NA,12:25:00,162,NA,NA,NA,52.3,3,101,100,21.94125223,12.87,Sterivex,0.45,8/7/21,20:33:00,AH ,BML dorm parking lot,0.75,NA,2.5,,1,9/20/21,76
CCSP09202188A,CCFRP,8/8/21,Cell 9,A,SP,MPA,"KY, AH",R/V Huli Cat,NA,NA,10:30:00,193,NA,NA,NA,54.1,3,61,60,13.93649693,13.61,Sterivex,0.45,8/12/21,10:03:00,"KY, AH",Cole A,0.54,NA,2.65,,1,9/23/21,84
CCSP09202188B,CCFRP,8/8/21,Cell 9,B,SP,MPA,"KY, AH",R/V Huli Cat,NA,NA,10:53:00,199,NA,NA,NA,54.4,3,94,100,21.51525659,13.53,Sterivex,0.45,8/13/21,10:27:00,"KY, AH",Cole A,0.83,NA,2.65,,1,9/23/21,85
CCSP09202188C,CCFRP,8/8/21,Cell 9,C,SP,MPA,"KY, AH",R/V Huli Cat,NA,NA,11:13:00,203,NA,NA,NA,54.6,2,60,60,11.15266495,14.15,Sterivex,0.45,8/14/21,10:53:00,"KY, AH",Cole A,0.67,NA,2.7,,1,9/23/21,86
CCNANeg2021209ENC1,CCFRP,9/20/21,Extraction Neg Control,ENC1,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,,,NA,NA,NA,,1,9/20/21,NA
CCNANeg2021239ENC2,CCFRP,9/23/21,Extraction Neg Control,ENC2,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,,,NA,NA,NA,,1,9/21/21,NA
CCNANeg202148FNC1,CCFRP,8/4/21,Field Neg Control,FNC1,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sterivex,0.45,8/5/21,12:15:00,"KY, AH",Cole A,NA,NA,2.5,,1,9/20/21,NA
CCNANeg202178FNC2,CCFRP,8/7/21,Field Neg Control,FNC2,,,,R/V Huli Cat,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sterivex,0.45,8/7/21,19:28:00,AH ,BML dorm parking lot,NA,NA,2.5,in bag with cell 7 not cell 17- I don't think this is a problem but see cell 7 notes,1,9/20/21,NA
CCNANeg202188FNC3,CCFRP,8/8/21,Field Neg Control,FNC3,,,"KY, AH",R/V Huli Cat,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sterivex,0.45,8/9/21,11:07:00,"KY, AH",Cole A,NA,NA,2.5,NC put through niskin,1,9/23/21,NA
