"Fish_ID","Drift_ID","Species_Code","Tag_ID","Length_cm","Gear_Type","Station_Number","Angler_ID","Depth_Released_ft","Lat_Released_DD","Lon_Released_DD","Sex","Condtion_0","Condtion_1","Condtion_2","Condtion_3","Condtion_4","Condtion_5","Condtion_6","Condtion_7","Condtion_8","All_Conditions","Retained","Recapture","Trip_comments","GPS_Waypoint","waypoint_link"
"","SPR0909201604","BLA","",27,"BAR",1,"A441",68,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201604","BLA","",29,"BAR",1,"A441",68,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201604","GPR","",27.5,"BAR",2,"A616",68,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"SIM","",""
"","SPR0909201604","BLA","",27,"BAR",2,"A616",68,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201801","GPR","",27.5,"BAR",2,"B151",86,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"","",""
"","SPR0910201801","BLA","",37,"FLY",4,"B175",86,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201801","BLA","",31.5,"BAT",5,"B152",79,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201801","YTL","B05348",28,"FLY",4,"B175",79,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201801","CNY","",26,"BAR",1,"B011",79,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201802","DEA","",20.5,"FLY",3,"B169",70,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201802","DEA","",18.5,"FLY",3,"B169",70,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"","",""
"","SPR0910201802","BLU","",24,"BAR",1,"B011",70,"","","",0,1,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0910201802","CHN","",29.5,"BAT",5,"B152",70,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"SIM","",""
