Fish ID,Drift ID,Species Code,Tag ID,Length (cm),Gear Type,Station #,Angler ID,Depth Released (ft),Lat Released (DD),Lon Released (DD),Sex,Condition 0,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Condition 6,Condition 7,Condition 8,All Conditions,Retained,Recapture,Comments,GPS Waypoint,waypoint_link
,SPR0910201801,BLA,,37.0,FLY,4,B175,86,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201801,BLA,,31.5,BAT,5,B152,79,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201801,YTL,B05348,28.0,FLY,4,B175,79,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201801,CNY,,26.0,BAR,1,B011,79,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201802,DEA,,20.5,FLY,3,B169,70,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201802,DEA,,18.5,FLY,3,B169,70,,,,0,0,0,0,0,1,0,0,0,,0,0,,,
,SPR0910201802,BLU,,24.0,BAR,1,B011,70,,,,0,1,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201802,CHN,,29.5,BAT,5,B152,70,,,,0,0,0,0,0,1,0,0,0,,0,0,SIM,,
,SPR0910201802,LCD,B05349,84.0,FLY,4,B175,70,,,,1,0,0,0,0,0,0,0,0,,0,0,eDNA WP,1839,
,SPR0910201802,CNY,,28.0,BAT,5,B152,70,,,,0,0,0,0,0,1,0,0,0,,0,0,,,
,SPR0910201802,DEA,,21.0,FLY,3,B169,70,,,,0,0,0,0,0,1,0,0,0,,0,0,,,
,SPR0910201802,OLV,,32.0,FLY,3,B169,70,,,,0,0,0,0,1,1,0,0,0,,0,0,FH- HEAD ,,
,SPR0910201802,CNY,,28.0,BAR,2,B151,70,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201802,YTL,,23.0,FLY,4,B175,70,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201803,GPR,,20.0,BAR,1,B011,73,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201803,CNY,,27.0,BAT,5,B152,73,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201803,GPR,,27.5,BAR,2,B151,73,,,,1,0,0,0,0,0,0,0,0,,0,0,eDNA WP,1842,
,SPR0910201803,GPR,,32.0,BAR,2,B151,73,,,,0,0,0,0,0,1,0,0,0,,0,0,SIM,,
,SPR0910201804,BLU,,24.0,BAR,1,B011,108,,,,0,0,0,0,0,1,0,0,0,,0,0,SIM,,
,SPR0910201804,YTL,,31.5,FLY,3,B169,108,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,DEA,,20.5,FLY,3,B169,108,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,DEA,,30.0,BAT,6,B196,108,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,DEA,,26.0,BAR,2,B151,108,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,BLU,,28.0,BAT,6,B196,108,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,DEA,,29.5,FLY,3,B169,108,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,DEA,,25.0,FLY,3,B169,108,,,,0,0,0,0,1,0,0,0,0,,0,0,FH- EYE,,
,SPR0910201804,DEA,,27.0,BAR,2,B151,108,,,,1,0,0,0,0,0,0,0,0,,0,0,eDNA WP,1845,
,SPR0910201804,DEA,,23.0,BAR,2,B151,108,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,DEA,,25.0,BAR,1,B011,108,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,DEA,,25.0,BAT,6,B196,108,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,DEA,,26.0,FLY,3,B169,108,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,BLU,,33.0,BAT,6,B196,108,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,BLU,,27.0,BAT,5,B152,108,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,DEA,,18.0,BAT,5,B152,108,,,,0,0,0,0,0,1,0,0,0,,0,0,,,
,SPR0910201804,DEA,,28.0,BAR,1,B011,108,,,,0,0,0,0,0,1,0,0,0,,0,0,,,
,SPR0910201804,YTL,B05350,28.5,FLY,4,B175,108,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,DEA,,21.0,FLY,3,B169,110,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,DEA,,27.0,FLY,3,B169,110,,,,1,0,0,0,0,0,0,0,0,,0,0,,1846,
,SPR0910201804,YTL,B05352,31.0,BAT,5,B152,110,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,YTL,,21.0,BAT,6,B196,110,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,YTL,B05353,38.5,BAT,6,B196,110,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,CNY,,34.0,FLY,4,B175,110,,,,0,0,0,0,0,1,0,0,0,,0,0,,,
,SPR0910201804,YTL,,21.0,BAR,1,B011,110,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,DEA,,20.0,FLY,3,B169,110,,,,0,0,0,0,0,1,0,0,0,,0,0,,,
,SPR0910201804,YTL,B05354,31.0,FLY,3,B169,110,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,YTL,,22.5,BAR,2,B151,110,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,YTL,,22.5,BAR,2,B151,110,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,CNY,,30.0,FLY,4,B175,110,,,,0,0,0,0,0,1,0,0,0,,0,0,,,
,SPR0910201804,YTL,,15.0,BAR,1,B011,110,,,,0,0,0,0,1,0,0,0,0,,0,0,CAUDAL DAMAGE ,1847,
,SPR0910201804,YTL,,27.0,FLY,4,B175,110,,,,0,0,0,0,1,0,0,0,0,,0,0,BLOODY GILLS (FH) ,,
,SPR0910201804,CNY,,29.0,FLY,3,B169,110,,,,0,0,0,0,0,1,0,0,0,,0,0,SIM,,
,SPR0910201804,DEA,,25.0,FLY,4,B175,110,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0910201804,RSY,,26.0,BAR,1,B011,110,,,,0,1,0,0,0,1,0,0,0,,0,0,,,
