Date,Site,Paired?,Rep_1,X,S5XX,N7XX,Lat,Lon,Collector,Time,Collection method,Temp,SpCnd,DO_percentage,Turb_NTU,pH,Bar_mmHg,Env_data_comments,Filtering ,Filterer,Rep_2,Filter_type,Pore_size_um,Vol_L,Filtration_site,Filtration_time,Comments,Entered_by,Date_entered,extracted_by,extracted_date,library_prep_notes
4/12/21,Stebbins Creek,No,A,,,,,,AH,,Hand dip,,,,,,,,,,,,,,,,,,,KY,6/10/21,
4/12/21,Stebbins Creek,No,B,,,,,,AH,,Hand dip,,,,,,,,,,,,,,,,,,,KY,6/10/21,
4/12/21,Stebbins Creek,No,C,,,,,,AH,,Hand dip,,,,,,,,,,,,,,,,,,,KY,6/10/21,
4/12/21,Mace Blvd,No,A,,,,,,AH,,Hand dip,,,,,,,,,,,,,,,,,,,KY,6/11/21,
4/12/21,Mace Blvd,No,B,,,,,,AH,,Hand dip,,,,,,,,,,,,,,,,,,,KY,6/11/21,
4/12/21,Mace Blvd,No,C,,,,,,AH,,Hand dip,,,,,,,,,,,,,,,,,,,KY,6/11/21,
4/12/21,NC,,FNC5,,,,,,AH,,n/a,,,,,,,,,,,,,,,,,,,KY,6/10/21,
5/27/21,Kilkenny Weir- DS,Screw trap,A,,,,,,AH,,Pole sampler,,,,,,,,,,,,,,,,,,,KY,6/11/21,
5/27/21,Kilkenny Weir- DS,Screw trap,B,,,,,,AH,,Pole sampler,,,,,,,,,,,,,,,,,,,KY,6/11/21,
5/27/21,Kilkenny Weir- DS,Screw trap,C,,,,,,AH,,Pole sampler,,,,,,,,,,,,,,,,,,,KY,6/11/21,
5/27/21,Kilkenny Weir- US,Screw trap,A,,,,,,AH,,Pole sampler,,,,,,,,,,,,,,,,,,,KY,6/11/21,
5/27/21,Kilkenny Weir- US,Screw trap,B,,,,,,AH,,Pole sampler,,,,,,,,,,,,,,,,,,,KY,6/11/21,
5/27/21,Kilkenny Weir- US,Screw trap,C,,,,,,AH,,Pole sampler,,,,,,,,,,,,,,,,,,,KY,6/11/21,
5/27/21,NC,,FNC6,,,,,,AH,,n/a,,,,,,,,,,,,,,,,,,,KY,6/11/21,
6/11/21,Extraction NC,,ENC,,,,,,n/a,,n/a,,,,,,,,,,,,,,,,,,,KY,6/11/21,
21-Oct,enter data from field data sheet,,,,,,,,SP & KY,,Pole sampler,,,,,,,,,,,,,,,,,,,,,
21-Oct,enter data from field data sheet,,,,,,,,SP & KY,,Pole sampler,,,,,,,,,,,,,,,,,,,,,
21-Oct,enter data from field data sheet,,,,,,,,SP & KY,,Pole sampler,,,,,,,,,,,,,,,,,,,,,
21-Oct,enter data from field data sheet,,,,,,,,SP & KY,,Pole sampler,,,,,,,,,,,,,,,,,,,,,
21-Oct,enter data from field data sheet,,,,,,,,SP & KY,,Pole sampler,,,,,,,,,,,,,,,,,,,,,
21-Oct,enter data from field data sheet,,,,,,,,SP & KY,,Pole sampler,,,,,,,,,,,,,,,,,,,,,
21-Oct,FNC,,,,,,,,SP & KY,,,,,,,,,,,,,,,,,,,,,,,
21-Oct,enter data from field data sheet,,,,,,,,AH,,Pole sampler,,,,,,,,,,,,,,,,,,,,,
21-Oct,enter data from field data sheet,,,,,,,,AH,,Pole sampler,,,,,,,,,,,,,,,,,,,,,
21-Oct,enter data from field data sheet,,,,,,,,AH,,Pole sampler,,,,,,,,,,,,,,,,,,,,,
21-Oct,enter data from field data sheet,,,,,,,,AH,,Pole sampler,,,,,,,,,,,,,,,,,,,,,
21-Oct,enter data from field data sheet,,,,,,,,AH,,Pole sampler,,,,,,,,,,,,,,,,,,,,,
21-Oct,enter data from field data sheet,,,,,,,,AH,,Pole sampler,,,,,,,,,,,,,,,,,,,,,
21-Oct,FNC,,,,,,,,AH,,,,,,,,,,,,,,,,,,,,,,,
